program_id,calls,functions,mappings,records,imports,cross_contract_refs,async_or_conditional_paths
credits.aleo,22343,15,8,1,"","","bond_validator bond_public unbond_public claim_unbond_public set_validator_state transfer_public transfer_public_as_signer transfer_private_to_public transfer_public_to_private fee_private fee_public upgrade"
dara_dp_credit_v5.aleo,4380,17,23,5,"credits.aleo merkle_tree.aleo test_usdcx_freezelist.aleo test_usdcx_multisig_core.aleo test_usdcx_stablecoin.aleo","credits.aleo test_usdcx_stablecoin.aleo","initialize set_operators update_oracle_price submit_buy_order submit_sell_order propose_settlement approve_settlement execute_match execute_partial_fill cancel_buy_order cancel_sell_order advance_batch withdraw_fees set_fee_bps pause_darkpool resume_darkpool"
dara_dp_sol_v5.aleo,4371,17,23,5,"merkle_tree.aleo test_sol_v1.aleo test_usdcx_freezelist.aleo test_usdcx_multisig_core.aleo test_usdcx_stablecoin.aleo","test_sol_v1.aleo test_usdcx_stablecoin.aleo","initialize set_operators update_oracle_price submit_buy_order submit_sell_order propose_settlement approve_settlement execute_match execute_partial_fill cancel_buy_order cancel_sell_order advance_batch withdraw_fees set_fee_bps pause_darkpool resume_darkpool"
dara_dp_eth_v5.aleo,4367,17,23,5,"merkle_tree.aleo test_eth_v1.aleo test_usdcx_freezelist.aleo test_usdcx_multisig_core.aleo test_usdcx_stablecoin.aleo","test_eth_v1.aleo test_usdcx_stablecoin.aleo","initialize set_operators update_oracle_price submit_buy_order submit_sell_order propose_settlement approve_settlement execute_match execute_partial_fill cancel_buy_order cancel_sell_order advance_batch withdraw_fees set_fee_bps pause_darkpool resume_darkpool"
dara_dp_btc_v5.aleo,4363,17,23,5,"merkle_tree.aleo test_btc_v1.aleo test_usdcx_freezelist.aleo test_usdcx_multisig_core.aleo test_usdcx_stablecoin.aleo","test_btc_v1.aleo test_usdcx_stablecoin.aleo","initialize set_operators update_oracle_price submit_buy_order submit_sell_order propose_settlement approve_settlement execute_match execute_partial_fill cancel_buy_order cancel_sell_order advance_batch withdraw_fees set_fee_bps pause_darkpool resume_darkpool"
dara_lend_v8.aleo,488,12,20,5,"credits.aleo merkle_tree.aleo test_usad_freezelist.aleo test_usad_multisig_core.aleo test_usad_stablecoin.aleo test_usdcx_freezelist.aleo test_usdcx_multisig_core.aleo test_usdcx_stablecoin.aleo","credits.aleo test_usad_stablecoin.aleo test_usdcx_stablecoin.aleo","update_oracle_price set_rate_params emergency_pause resume_protocol accrue_interest supply_collateral borrow borrow_usad repay repay_usad liquidate withdraw_collateral"
dara_lend_v8_credits.aleo,323,12,12,5,"credits.aleo merkle_tree.aleo test_usad_freezelist.aleo test_usad_multisig_core.aleo test_usad_stablecoin.aleo test_usdcx_freezelist.aleo test_usdcx_multisig_core.aleo test_usdcx_stablecoin.aleo","credits.aleo test_usad_stablecoin.aleo test_usdcx_stablecoin.aleo","update_oracle_price emergency_pause resume_protocol supply_usdcx_collateral supply_usad_collateral borrow_credits repay_credits_usdcx repay_credits_usad liquidate_usdcx liquidate_usad withdraw_usdcx_collateral withdraw_usad_collateral"
dara_flash_v1.aleo,262,11,11,2,"credits.aleo merkle_tree.aleo test_usad_freezelist.aleo test_usad_multisig_core.aleo test_usad_stablecoin.aleo test_usdcx_freezelist.aleo test_usdcx_multisig_core.aleo test_usdcx_stablecoin.aleo","credits.aleo test_usdcx_stablecoin.aleo","update_oracle_price flash_borrow_usdcx flash_claim_usdcx flash_repay_usdcx flash_withdraw_aleo flash_borrow_aleo flash_claim_aleo flash_repay_aleo flash_withdraw_usdcx pause_flash resume_flash"
autojoin_credits_2_10.aleo,143,9,0,0,"credits.aleo","credits.aleo","join_2 join_3 join_4 join_5 join_6 join_7 join_8 join_9 join_10"
loyalty_token.aleo,100,8,4,1,"","","approve_upgrade mint_card add_points transfer_card split_card split_card_v2 spend_points"
