"name","contract","sample_tx_count","bytecode_hex_chars","salt","balances","errors"
"FuelL2BridgeId","0x4ea6ccef1215d9479f1024dff70fc055ca538215d2c8c348beddffd54583d0e8","0","25730","0x0000000000000000000000000000000000000000000000000000000000000000","[{""assetId"":""0x0000000000000000000000000000000000000000000000000000000000000000"",""amount"":""0""},{""assetId"":""0x00009d208516acd57e3a8a973a7e6f138b255e20261bd9f600e773f52d961518"",""amount"":""0""},{""assetId"":""0x00016b4ed42ff0b9ded7f1f11c33fdf93672ef1fc47d36edf3e0dc007d2a682c"",""amount"":""0""}]",""
"The Rig Liquid Staking","0x2181f1b8e00756672515807cab7de10c70a9b472a4a9b1b6ca921435b0a1f49b","0","27874","0xfb4c54b1a5a4b3588dbeeeaf56c356cbda22a4aeff0b0bd4540300527e7e34cb","[{""assetId"":""0x0000000000000000000000000000000000000000000000000000000000000000"",""amount"":""0""},{""assetId"":""0x1d5d97005e41cae2187a895fd8eab0506111e0e2f3331cd3912c15c24e3c1d82"",""amount"":""25294370049960245""},{""assetId"":""0x5505d0f58bea82a052bc51d2f67ab82e9735f0a98ca5d064ecb964b8fd30c474"",""amount"":""1458454416852174""}]",""
"L2 Staking","0x095faac82412324c60fdf6934405b5df9de49982284779536218d16d5ee3dc4c","0","27874","0x4f911e6629e783cd254078a6539f56731ba976281a365a593ce3d02fdc438d3d","[{""assetId"":""0x0000000000000000000000000000000000000000000000000000000000000000"",""amount"":""0""},{""assetId"":""0x1d5d97005e41cae2187a895fd8eab0506111e0e2f3331cd3912c15c24e3c1d82"",""amount"":""0""},{""assetId"":""0x5505d0f58bea82a052bc51d2f67ab82e9735f0a98ca5d064ecb964b8fd30c474"",""amount"":""78649238899365497""}]",""
"Mira AMM","0xd5a716d967a9137222219657d7877bd8c79c64e1edb5de9f2901c98ebe74da80","0","0",,"",""
"Swaylend USDC Market Proxy","0x657ab45a6eb98a4893a99fd104347179151e8b3828fd8f2a108cc09770d1ebae","0","27666","0x0000000000000000000000000000000000000000000000000000000000000000","[{""assetId"":""0x0000000000000000000000000000000000000000000000000000000000000000"",""amount"":""0""},{""assetId"":""0x1a7815cc9f75db5c24a5b0814bfb706bb9fe485333e98254015de8f48f84c67b"",""amount"":""2201659336""},{""assetId"":""0x1d5d97005e41cae2187a895fd8eab0506111e0e2f3331cd3912c15c24e3c1d82"",""amount"":""9528325535110919""}]",""
"Swaylend USDC Market Impl","0x8748488e127dccd6f2cf2a536bf248b2f807028e32e3b845d77233ead1ce242c","0","226","0xf36f7a3af729ab9bcd28dc3dd7a2fc544cf1f754f5beea7d87ca436ae279d244","",""
"Pyth","0x1c86fdd9e0e7bc0d2ae1bf6817ef4834ffa7247655701ee1b031b52a24c523da","0","290","0x3c4586e2d9599fa88f331f4879fed21c30fe94f6eae4ca61de52ef6010941ce5","[{""assetId"":""0x0000000000000000000000000000000000000000000000000000000000000000"",""amount"":""0""},{""assetId"":""0xf8f8b6283d7fa5b672b530cbb84fcccb4ff8dc40f8176ef4544ddb1f1952ad07"",""amount"":""2255993""}]",""
"Stork","0x9c118ae13927dd51ba59c0370dc8c272a3b64ccd675950750c8840a649c81149","0","27666","0x2c44fcaeb89cd1e3cf976f6f898f24dc3e733303eb254c129c982ea9a26a91ad","{""assetId"":""0xf8f8b6283d7fa5b672b530cbb84fcccb4ff8dc40f8176ef4544ddb1f1952ad07"",""amount"":""52449""}",""
"Fluid USDF token asset","0x33a6d90877f12c7954cca6d65587c25e9214c7bed2231c188981c7114c1bdb78","0","0",,"",""
"Fuel asset contract","0x4ea6ccef1215d9479f1024dff70fc055ca538215d2c8c348beddffd54583d0e8","0","25730","0x0000000000000000000000000000000000000000000000000000000000000000","[{""assetId"":""0x0000000000000000000000000000000000000000000000000000000000000000"",""amount"":""0""},{""assetId"":""0x00009d208516acd57e3a8a973a7e6f138b255e20261bd9f600e773f52d961518"",""amount"":""0""},{""assetId"":""0x00016b4ed42ff0b9ded7f1f11c33fdf93672ef1fc47d36edf3e0dc007d2a682c"",""amount"":""0""}]",""
